,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
91,27.982329177856446,0.10026482249348485,0.15513920783996582,0.028663069881537214,,20,40,"{'class_weight': None, 'max_depth': 20, 'n_estimators': 40}",0.6376520477625265,0.6350481717070268,0.6388795893315479,0.6363501097347766,0.6354437913845696,0.6366747419840895,0.001420058784144992,17,0.37988506378819215,0.3771172678066431,0.3798619197799344,0.3788659592213458,0.3760505428726701,0.37835615069375717,0.001530717397736483,26,0.5959333095784428,0.5937933116151912,0.5972064711138204,0.5945592721211501,0.5931516382975615,0.5949288005452331,0.001468401419082058,24
92,43.54721207618714,0.45398112049455497,0.2772944927215576,0.0630977766469501,,20,60,"{'class_weight': None, 'max_depth': 20, 'n_estimators': 60}",0.6383216158910836,0.636796488487148,0.6407395007997619,0.6378380389093479,0.6381221635294992,0.638363561523368,0.001299000522811083,16,0.3795861216635884,0.3770874271674487,0.38154843874553634,0.378615246450391,0.37761870524867797,0.37889118785512854,0.0015806848866045773,25,0.5954786440915414,0.5944298137076298,0.5986248078867495,0.594799878912408,0.5951359342951241,0.5956938157786906,0.001506324646197214,21
93,55.185714197158816,0.3285952511580502,0.40847020149230956,0.07971843648450656,,20,80,"{'class_weight': None, 'max_depth': 20, 'n_estimators': 80}",0.6409254919465833,0.6370196778633337,0.6407395007997619,0.6385448052672693,0.639349750762592,0.6393158453279082,0.0014481570714900385,15,0.38251283275619585,0.3774117688785533,0.38071694976010295,0.3796308499091098,0.3783624899126322,0.37972697824331886,0.001787304810874563,21,0.5979669267078666,0.5942628836745655,0.5979115514681294,0.5953960339056305,0.5958990102863863,0.5962872812085156,0.0014493256583039027,12
94,72.41031255722046,0.34728987349977664,0.5032341957092286,0.0307217203118169,,20,100,"{'class_weight': None, 'max_depth': 20, 'n_estimators': 100}",0.6410370866346762,0.6369452814046052,0.6415950600751404,0.6390283822490049,0.6400565434119485,0.6397324707550751,0.0016456275250016298,13,0.38216230091085185,0.37690182342166156,0.38111589720050343,0.37977694734962386,0.3788118008251138,0.37975375394155086,0.001826354514285684,20,0.5976408204889334,0.5938729028175067,0.5983910893243923,0.5955120730506687,0.596339132404497,0.5963512036171996,0.0015918860543324548,10
95,78.83503694534302,2.0281039548459936,0.7715460777282714,0.1321546890447876,,20,120,"{'class_weight': None, 'max_depth': 20, 'n_estimators': 120}",0.6397351486069263,0.6376892459918908,0.6411858795521334,0.6393631663132835,0.6400565434119485,0.6396059967752364,0.001135658597900379,14,0.37978877664215294,0.3779667640591397,0.3811616789363202,0.3797639379769248,0.3791494293345974,0.379566117389827,0.0010359620444519578,23,0.5958124280982039,0.5946488431216755,0.5980286082049565,0.5957146377541436,0.5963196501632047,0.5961048334684367,0.0011049630704307082,17
96,93.14050221443176,2.1010974938448665,0.9723493576049804,0.09158637713079273,,20,140,"{'class_weight': None, 'max_depth': 20, 'n_estimators': 140}",0.6396607521481977,0.6381728229736264,0.6419670423687832,0.638767994643455,0.6408377352875531,0.6398812694843231,0.001376377390474771,12,0.37961581160316243,0.37832935347401137,0.3815694857609209,0.3787985192995643,0.379499436841812,0.37956252139589425,0.0011080729034137462,24,0.5956152441000871,0.5949822900402323,0.5984868502392198,0.5947096328016608,0.5969351288919152,0.596145829214623,0.0014000983914634099,16
97,108.2577609539032,1.8443806201433917,1.1163541793823242,0.08170303686831584,,20,160,"{'class_weight': None, 'max_depth': 20, 'n_estimators': 160}",0.6397723468362906,0.6379496335974407,0.6426366104973403,0.6390655804783693,0.640726136448181,0.6400300615715244,0.0015876673931113515,11,0.3793067021023785,0.3772320793752245,0.38214868001781227,0.3797207253209677,0.3795095935811208,0.37958355607950073,0.001562705185649056,22,0.5955791377618382,0.5943706352475637,0.5990796173554889,0.5953427904394805,0.5968116188966016,0.5962367599401946,0.0016202697842998177,14
98,124.1628155708313,0.7101312365496736,1.223021650314331,0.07371940472197673,,20,180,"{'class_weight': None, 'max_depth': 20, 'n_estimators': 180}",0.6403303202767548,0.637986831826805,0.6426738087267047,0.6395863556894692,0.6406517372219329,0.6402458107483333,0.0015234801664550047,10,0.37982179502362373,0.37731232815612925,0.38210769830981633,0.3795171485256369,0.38006904425514226,0.37976560285406974,0.0015271497414795256,19,0.5960412341422656,0.5942285714113915,0.5990139451093169,0.5956451149104205,0.5969890766368714,0.5963835884420532,0.001586949285707015,9
99,19.79964017868042,0.5636635157231538,0.14682378768920898,0.025211900253716054,,30,20,"{'class_weight': None, 'max_depth': 30, 'n_estimators': 20}",0.6153331101439572,0.6123200535654503,0.6177881932819997,0.612803630547186,0.6164347890781936,0.6149359553233573,0.002094241958656079,39,0.36942522825608676,0.36805174149547487,0.372923085864085,0.37191355745109794,0.3692461087353116,0.3703119443604112,0.0018118505713514692,119,0.5797348787988367,0.5776106631539457,0.583493843117751,0.5784503400210311,0.5812265453831811,0.5801032540949491,0.0020899144543964805,56
100,33.57671041488648,0.13157424216767236,0.41475954055786135,0.04892073354940566,,30,40,"{'class_weight': None, 'max_depth': 30, 'n_estimators': 40}",0.621508016218428,0.6198340958970353,0.6233679276866421,0.6193133206859354,0.6222007291124172,0.6212448179200916,0.0014974279832146657,34,0.37310288345845694,0.37335357717929346,0.37610151222226723,0.3754929098933696,0.37309005766718706,0.37422818808411484,0.0012988810694351312,50,0.5844064001254949,0.5840719372856459,0.5878843392403937,0.5839782225910296,0.5855737901287795,0.5851829378742688,0.0014655379164401812,44
