,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__criterion,param_randomforestclassifier__max_depth,param_randomforestclassifier__n_estimators,param_simpleimputer__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,746.7874734401703,1.1552852253528345,12.512241959571838,0.5730362675552819,gini,10,1000,mean,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 1000, 'simpleimputer__strategy': 'mean'}",0.5594965484851336,0.5432745753023427,0.5477933027840757,0.5375867446145117,0.547037792796516,0.008051017114268593,30
1,746.6980347037315,7.940732881228148,11.420427680015564,1.0989158134760268,gini,10,1000,median,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 1000, 'simpleimputer__strategy': 'median'}",0.5576875992063483,0.5423463199168554,0.5478725961356756,0.5379875226757365,0.5464735094836539,0.007361367359277473,36
2,725.6501484513283,24.471162482845227,10.29371839761734,0.2891629342234505,gini,10,1000,most_frequent,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 1000, 'simpleimputer__strategy': 'most_frequent'}",0.5614509856859403,0.5414001226694378,0.5474556674382708,0.539940877661249,0.5475619133637245,0.008499492159932577,28
3,947.5219990611076,43.1688102004852,11.99815148115158,0.5628661431736892,gini,10,1500,mean,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 1500, 'simpleimputer__strategy': 'mean'}",0.5584967798878802,0.543761537934618,0.5487761448097749,0.5363738550327533,0.5468520794162566,0.008041232952618918,33
4,956.4656639099121,45.09821636111353,13.581715762615204,3.3403849888472856,gini,10,1500,median,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 1500, 'simpleimputer__strategy': 'median'}",0.5580470449892911,0.5440691384007302,0.5474727031368096,0.5388535470206599,0.5471106083868728,0.007020796967735555,29
5,958.0558742880821,5.139788306943428,11.85233324766159,0.3382226019144314,gini,10,1500,most_frequent,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 1500, 'simpleimputer__strategy': 'most_frequent'}",0.5597690775384221,0.5424749196113626,0.547717146478961,0.5375944571995457,0.5468889002070728,0.008253103287451581,31
6,1224.1583318710327,41.789043155056525,13.20835930109024,0.6577906529721278,gini,10,2000,mean,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 2000, 'simpleimputer__strategy': 'mean'}",0.5592598854402863,0.5436568803539931,0.5478250719639699,0.5365185635550509,0.546815100328325,0.008244479093874808,34
7,1211.8896229863167,33.66870032947819,16.867852687835693,3.168167135239486,gini,10,2000,median,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 2000, 'simpleimputer__strategy': 'median'}",0.5576180348481978,0.5427513293650792,0.5477101295981347,0.5390386858308133,0.5467795449105562,0.006972916745565941,35
8,1183.5885737538338,15.523534195572658,15.381053507328033,1.25098911653067,gini,10,2000,most_frequent,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 2000, 'simpleimputer__strategy': 'most_frequent'}",0.5599777235292257,0.5424860758377422,0.5473184026990416,0.5376911440224229,0.5468683365221081,0.008298850193671718,32
9,1293.5533531308174,20.659482953399294,24.747127652168274,1.1198303737351085,gini,50,1000,mean,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 50, 'randomforestclassifier__n_estimators': 1000, 'simpleimputer__strategy': 'mean'}",0.5605551888070033,0.5440013718820856,0.5534289673091451,0.5451413866055677,0.5507817286509504,0.006714072762440777,16
10,1295.3025885820389,23.109353900554222,24.2882599234581,1.6690698605160428,gini,50,1000,median,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 50, 'randomforestclassifier__n_estimators': 1000, 'simpleimputer__strategy': 'median'}",0.5592910330057944,0.5439457937295283,0.5553369438145618,0.545027613772361,0.5509003460805614,0.006575367094270367,15
11,1287.3950875401497,5.888861024297506,23.771146416664124,2.5611667670905574,gini,50,1000,most_frequent,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 50, 'randomforestclassifier__n_estimators': 1000, 'simpleimputer__strategy': 'most_frequent'}",0.5638996559271845,0.5411076966017884,0.5502281494866457,0.5443594336577222,0.5498987339183352,0.00871923901772213,27
12,1873.6410081386566,10.50223999084628,32.088068783283234,1.4071739774411645,gini,50,1500,mean,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 50, 'randomforestclassifier__n_estimators': 1500, 'simpleimputer__strategy': 'mean'}",0.5617077038454261,0.5448489531368099,0.5530676604623321,0.5458144638133029,0.5513596953144677,0.006766420427533126,9
13,1898.017050743103,18.42414298379848,29.885061025619507,3.740781238925119,gini,50,1500,median,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 50, 'randomforestclassifier__n_estimators': 1500, 'simpleimputer__strategy': 'median'}",0.5609479023368595,0.5428133659297049,0.5552909427752573,0.5470807391660365,0.5515332375519646,0.007046580102121965,5
