,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23,0.9559976577758789,0.25070493597816945,0.0,0.0,,[10 20 30 40 50 60 70 80 90],120,"{'class_weight': None, 'max_depth': array([10, 20, 30, 40, 50, 60, 70, 80, 90]), 'n_estimators': 120}",,,,,,,,23
24,0.9418694972991943,0.07479195373057697,0.0,0.0,,[10 20 30 40 50 60 70 80 90],140,"{'class_weight': None, 'max_depth': array([10, 20, 30, 40, 50, 60, 70, 80, 90]), 'n_estimators': 140}",,,,,,,,21
25,1.050846242904663,0.2757161782715945,0.0,0.0,,[10 20 30 40 50 60 70 80 90],160,"{'class_weight': None, 'max_depth': array([10, 20, 30, 40, 50, 60, 70, 80, 90]), 'n_estimators': 160}",,,,,,,,19
26,0.8407204151153564,0.26338911611794236,0.0,0.0,,[10 20 30 40 50 60 70 80 90],180,"{'class_weight': None, 'max_depth': array([10, 20, 30, 40, 50, 60, 70, 80, 90]), 'n_estimators': 180}",,,,,,,,22
27,14.322504806518555,4.244305063179062,0.17467184066772462,0.0852630592188216,,,20,"{'class_weight': None, 'max_depth': None, 'n_estimators': 20}",0.736822527247703,0.7373061042294387,0.7378268794405386,0.7329167131644534,0.7396027081318354,0.7368949864427938,0.00220005035174917,18
28,31.879654264450075,0.6696151845282392,0.44106411933898926,0.12587719399995884,,,40,"{'class_weight': None, 'max_depth': None, 'n_estimators': 40}",0.7403563590373098,0.7422534687348882,0.7432950191570882,0.7383848528810029,0.7443642586117104,0.7417307916843998,0.0021325814648037837,16
29,50.52912011146545,1.0609187149701955,0.6658852577209473,0.22468173988664147,,,60,"{'class_weight': None, 'max_depth': None, 'n_estimators': 60}",0.7448945430197522,0.7449317412491165,0.7467544544879664,0.7413607112301455,0.7457406442972994,0.744736418856856,0.0018187629099201748,14
30,58.33707156181335,0.742324647690533,0.8344313621520996,0.224802617955666,,,80,"{'class_weight': None, 'max_depth': None, 'n_estimators': 80}",0.7453409217721236,0.7463824721943235,0.747238031469702,0.7417326935237882,0.7483074176028569,0.7458003073125589,0.0022560179839118894,11
31,62.03183574676514,6.150727355596802,0.7597418308258057,0.04679165946137455,,,100,"{'class_weight': None, 'max_depth': None, 'n_estimators': 100}",0.7440389837443737,0.7463452739649593,0.7488003571030019,0.740505151954767,0.7478982218584926,0.7455175977251189,0.0029812695369674474,12
32,68.66522378921509,2.3439311547183075,1.0193074226379395,0.03237293153021271,,,120,"{'class_weight': None, 'max_depth': None, 'n_estimators': 120}",0.7449317412491165,0.7467544544879664,0.7488747535617305,0.7406539448722241,0.7481586191503609,0.7458747026642797,0.002937210626692071,10
33,81.22301664352418,1.9392104413209528,1.1824468135833741,0.11757147696462722,,,140,"{'class_weight': None, 'max_depth': None, 'n_estimators': 140}",0.7452665253133951,0.7474612208458877,0.748688762414909,0.7403563590373098,0.7485678148947251,0.7460681365012454,0.003108817734621689,7
34,96.98393597602845,3.946587081965817,1.5972930431365966,0.07444487424399117,,,160,"{'class_weight': None, 'max_depth': None, 'n_estimators': 160}",0.7449317412491165,0.7480563925157162,0.749209537626009,0.7417326935237882,0.7487538129603453,0.7465368355749951,0.002829257390902533,3
35,95.07609906196595,13.839105296270512,0.8986416816711426,0.3672259090730877,,,180,"{'class_weight': None, 'max_depth': None, 'n_estimators': 180}",0.7441877766618309,0.7488003571030019,0.7489119517910947,0.7418070899825169,0.7488282121865932,0.7465070775450074,0.0029630814018264165,4
