,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,10.239508581161498,0.5538828988616381,0.0,0.0,,[10 20 30 40 50 60 70 80 90],60,"{'class_weight': None, 'max_depth': array([10, 20, 30, 40, 50, 60, 70, 80, 90]), 'n_estimators': 60}",,,,,,,,25
21,10.011466836929321,0.45959102777182653,0.0,0.0,,[10 20 30 40 50 60 70 80 90],80,"{'class_weight': None, 'max_depth': array([10, 20, 30, 40, 50, 60, 70, 80, 90]), 'n_estimators': 80}",,,,,,,,28
22,8.674502563476562,0.32662056925580885,0.0,0.0,,[10 20 30 40 50 60 70 80 90],100,"{'class_weight': None, 'max_depth': array([10, 20, 30, 40, 50, 60, 70, 80, 90]), 'n_estimators': 100}",,,,,,,,27
23,9.197876071929931,0.3277059685937317,0.0,0.0,,[10 20 30 40 50 60 70 80 90],120,"{'class_weight': None, 'max_depth': array([10, 20, 30, 40, 50, 60, 70, 80, 90]), 'n_estimators': 120}",,,,,,,,26
24,8.81543664932251,0.43978164243410134,0.0,0.0,,[10 20 30 40 50 60 70 80 90],140,"{'class_weight': None, 'max_depth': array([10, 20, 30, 40, 50, 60, 70, 80, 90]), 'n_estimators': 140}",,,,,,,,35
25,8.350454807281494,0.783296159920858,0.0,0.0,,[10 20 30 40 50 60 70 80 90],160,"{'class_weight': None, 'max_depth': array([10, 20, 30, 40, 50, 60, 70, 80, 90]), 'n_estimators': 160}",,,,,,,,24
26,6.434603357315064,0.3943227328046985,0.0,0.0,,[10 20 30 40 50 60 70 80 90],180,"{'class_weight': None, 'max_depth': array([10, 20, 30, 40, 50, 60, 70, 80, 90]), 'n_estimators': 180}",,,,,,,,20
27,70.49149084091187,1.4014463237089718,0.5977542877197266,0.29808068611381233,,,20,"{'class_weight': None, 'max_depth': None, 'n_estimators': 20}",0.612543242941636,0.6125804411710003,0.6168210393185284,0.6125804411710003,0.6150584033926048,0.6139167135989541,0.0017433435186583125,17
28,148.55214114189147,6.684731441919306,1.3436840534210206,0.21648071400900318,,,40,"{'class_weight': None, 'max_depth': None, 'n_estimators': 40}",0.622289179035078,0.6248558568612134,0.6296172302198415,0.6218428002827066,0.6255858939067034,0.6248381920611086,0.0027881325338185133,15
29,251.23567867279053,7.6819537407339045,1.0997587203979493,0.24188553995432846,,,60,"{'class_weight': None, 'max_depth': None, 'n_estimators': 60}",0.6282036975039988,0.6284640851095488,0.6340810177435554,0.6281664992746345,0.6283758648910052,0.6294582329045485,0.002313976009585221,13
30,299.50315260887146,4.735152454212975,1.7069411277770996,0.2481162509506062,,,80,"{'class_weight': None, 'max_depth': None, 'n_estimators': 80}",0.6315143399174199,0.6314771416880557,0.6345273964959268,0.6313283487705985,0.6323934231083996,0.63224812999608,0.0011995861135583323,8
31,372.5010461807251,12.360388131193355,2.1029064655303955,0.14894912601911228,,,100,"{'class_weight': None, 'max_depth': None, 'n_estimators': 100}",0.6325558903396198,0.6322583045047055,0.6365732991109623,0.6328534761745341,0.6339930064727327,0.6336467953205109,0.0015768083135074588,5
32,426.6368075370789,3.279991582824149,3.637950038909912,0.8123527337550582,,,120,"{'class_weight': None, 'max_depth': None, 'n_estimators': 120}",0.6340810177435554,0.6351969646244838,0.6385820034966335,0.6344901982665625,0.6340302060858567,0.6352760780434185,0.0017048973642943706,4
33,529.0942383289337,7.521057494187271,4.135356092453003,0.8898350323782368,,,140,"{'class_weight': None, 'max_depth': None, 'n_estimators': 140}",0.6338578283673697,0.6364245061935052,0.6397351486069263,0.6345273964959268,0.6336210103414924,0.635633178001044,0.0022748978398467895,3
34,651.3848221302032,6.566941745669078,4.84995698928833,0.6309742241497986,,,160,"{'class_weight': None, 'max_depth': None, 'n_estimators': 160}",0.635345757541941,0.6362385150466838,0.6401443291299335,0.6343414053491054,0.6349229968008333,0.6361986007736994,0.002067561236290624,2
35,598.1646736145019,58.444816733432695,4.2732738018035885,1.5148805722733338,,,180,"{'class_weight': None, 'max_depth': None, 'n_estimators': 180}",0.6362013168173195,0.6369080831752408,0.6409626901759476,0.6344901982665625,0.6348485975745852,0.6366821772019311,0.002313950623583282,1
