,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__criterion,param_randomforestclassifier__max_depth,param_randomforestclassifier__n_estimators,param_simpleimputer__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,207.63742291927338,4.516155740398027,9.403136968612671,0.6418966373474657,gini,7,100,mean,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 100, 'simpleimputer__strategy': 'mean'}",0.5557920168020907,0.5455789701436126,0.5488998459939523,0.5353069438932975,0.5463944442082382,0.007385612194470985,103
1,277.02763587236404,68.11063247656489,11.5799081325531,5.96918605218972,gini,7,100,median,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 100, 'simpleimputer__strategy': 'median'}",0.5553548249716547,0.5429675968442929,0.5454650530675225,0.5391164571523049,0.5457259830089437,0.00600160828986921,119
2,316.1098513007164,35.270654650756796,15.730607986450195,3.0480139093652436,gini,7,100,most_frequent,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 100, 'simpleimputer__strategy': 'most_frequent'}",0.5561751160556808,0.545816023636306,0.54626625031494,0.5363033949829927,0.5461401962474799,0.007028215495127445,111
3,344.0772522687912,34.98368471514481,10.148920238018036,0.8940842581606119,gini,7,500,mean,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 500, 'simpleimputer__strategy': 'mean'}",0.5553633100277142,0.5457731801146384,0.5485298778029722,0.5345564222726122,0.5460556975544842,0.00750110601788036,112
4,338.0062358379364,45.35892839184573,10.409085154533386,1.9106214295474149,gini,7,500,median,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 500, 'simpleimputer__strategy': 'median'}",0.5583727173878802,0.5451981826341644,0.5470255618543706,0.5372122130102036,0.5469521687216546,0.007556082365314927,74
5,331.4168152809143,16.197683999172725,10.9668869972229,1.0760437807155816,gini,7,500,most_frequent,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 500, 'simpleimputer__strategy': 'most_frequent'}",0.5572615518707476,0.5444916179295789,0.5463796652966734,0.5348378537572432,0.5457426722135608,0.007961949370779079,118
6,472.5168150663376,7.7084729444004845,12.031533479690552,1.507466917362106,gini,7,1000,mean,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 1000, 'simpleimputer__strategy': 'mean'}",0.5555075510991426,0.5448858391597378,0.5491719552311655,0.5346268913769209,0.5460480592167417,0.007599910250595092,113
7,503.22373735904694,25.24827178289005,14.416991233825684,2.2395393946494826,gini,7,1000,median,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 1000, 'simpleimputer__strategy': 'median'}",0.5577105649250435,0.5453894311381956,0.5473542219387748,0.537689698837868,0.5470359792099705,0.007143390930949575,67
8,554.1436805725098,14.549533466172795,20.477058231830597,1.4721753507852846,gini,7,1000,most_frequent,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 1000, 'simpleimputer__strategy': 'most_frequent'}",0.5569801001511708,0.5443144966458804,0.54664051185752,0.5342395551461323,0.5455436659501758,0.008082216224941981,123
9,704.9341984987259,25.91740151489618,11.962648332118988,1.1824904444433733,gini,7,1500,mean,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 1500, 'simpleimputer__strategy': 'mean'}",0.5565307434177368,0.545404720175107,0.5492591091899715,0.5347167702034514,0.5464778357465667,0.007878303661817394,97
10,659.3591668009758,7.15528298686459,11.36690205335617,0.4123194535916397,gini,7,1500,median,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 1500, 'simpleimputer__strategy': 'median'}",0.556793297902494,0.5458599491370619,0.5486209307287722,0.5373126969954644,0.5471467186909481,0.006956894964873841,63
11,646.6446732282639,7.28773548044495,12.06904023885727,0.8178177534768228,gini,7,1500,most_frequent,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 1500, 'simpleimputer__strategy': 'most_frequent'}",0.5568739488063739,0.5456151303854875,0.5472901067649275,0.5347926418808261,0.5461429569594037,0.00783547050232422,110
12,844.9670794606209,14.710276739183339,12.365496814250946,0.21386175208090968,gini,7,2000,mean,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 2000, 'simpleimputer__strategy': 'mean'}",0.5571307051524305,0.5455438821176617,0.5484957317649274,0.5342323800862934,0.5463506747803282,0.008190151173553366,105
13,864.5068235397339,7.336635550294127,13.078357219696045,0.9204733913195894,gini,7,2000,median,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_depth': 7, 'randomforestclassifier__n_estimators': 2000, 'simpleimputer__strategy': 'median'}",0.5566127026643987,0.5461322334813551,0.5481374074861416,0.536861390306122,0.5469359334845043,0.00702185437554986,76
