,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__max_depth,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,226.87489932775497,3.786860915175778,10.224091410636902,1.114679876565079,2,50,"{'randomforestclassifier__max_depth': 2, 'randomforestclassifier__n_estimators': 50}",0.5472886361489034,0.53277114079428,0.540082504172965,0.5239061818153181,0.5360121157328667,0.008671584764551106,53
1,224.01481187343597,4.018889348584325,9.89631587266922,1.8813390647890844,2,100,"{'randomforestclassifier__max_depth': 2, 'randomforestclassifier__n_estimators': 100}",0.5464981736583516,0.5359123544186185,0.5355918871252197,0.5242579880794904,0.5355651008204201,0.007866132829783594,55
2,215.09915739297867,11.411090054401651,11.653712153434753,0.9442001133950807,2,200,"{'randomforestclassifier__max_depth': 2, 'randomforestclassifier__n_estimators': 200}",0.5480104563492056,0.5344901093631889,0.5409601878621813,0.5257321597064746,0.5372982283202625,0.008213118352468983,49
3,225.92465353012085,18.420210293310227,14.132506966590881,1.8036474732158845,2,250,"{'randomforestclassifier__max_depth': 2, 'randomforestclassifier__n_estimators': 250}",0.5477669862528337,0.5360072723765424,0.5395261000094476,0.5264155022518259,0.5374289652226624,0.007658169335632778,48
4,241.25724083185196,18.604843189993925,12.766245543956757,2.6591923153497357,2,500,"{'randomforestclassifier__max_depth': 2, 'randomforestclassifier__n_estimators': 500}",0.5465572874937006,0.5316902316389512,0.5387108767164267,0.5274736146541942,0.5361080026258181,0.007246238057065298,52
5,292.1467754840851,10.677366806684486,16.683885276317596,4.244445078555482,2,1000,"{'randomforestclassifier__max_depth': 2, 'randomforestclassifier__n_estimators': 1000}",0.5460430393361042,0.5325805449263031,0.539440183767951,0.5274815036848066,0.5363863179287912,0.007006389758077661,51
6,122.46937108039856,28.063019059359924,9.03412401676178,1.4758784113937347,4,50,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.5576872282060965,0.5477959915123455,0.5464515981670441,0.5352158608906523,0.5467876696940346,0.007966128163989585,20
7,202.40942531824112,24.847769779628905,12.659338533878326,1.0820278094090299,4,100,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.5565503330498861,0.5476496681311412,0.5446528647801708,0.5363935164714029,0.5463115956081502,0.007206626537431712,24
8,209.8042427301407,29.547658855444887,11.523523271083832,0.6121418595846941,4,200,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 200}",0.5553442779195007,0.5490831479119423,0.5441596101820351,0.5348841572971776,0.5458677983276639,0.007478308890234926,26
9,244.8817607164383,18.498848182582044,12.484310805797577,2.5935147372432517,4,250,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 250}",0.5541657622354494,0.5488481510613501,0.5443413681815313,0.5353657516849327,0.5456802582908159,0.006896031377675533,27
10,293.3923662304878,8.530953795085903,12.406130075454712,1.7030333742387938,4,500,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 500}",0.555085490284076,0.5477559367126476,0.5439085097001757,0.5343263700711762,0.5452690766920189,0.00748565994588408,30
11,391.1641327738762,19.812345050923632,10.822267711162567,0.7526540257704797,4,1000,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 1000}",0.5559204386337864,0.5472512592120177,0.5431995942775253,0.5342273692208359,0.5451496653360413,0.007802653135511858,33
12,157.27172255516052,31.36536900066523,9.51416152715683,0.6005074714037345,6,50,"{'randomforestclassifier__max_depth': 6, 'randomforestclassifier__n_estimators': 50}",0.55713434138007,0.5479186650447211,0.5452161296926168,0.5368001436917352,0.5467673199522858,0.007255196803612334,22
13,201.79508340358734,8.79760342209161,12.281306445598602,2.874458119936481,6,100,"{'randomforestclassifier__max_depth': 6, 'randomforestclassifier__n_estimators': 100}",0.5595350818058697,0.5492116648557567,0.5468600540910801,0.5354045196365577,0.547752830097316,0.008576530102680465,6
14,257.6420564651489,16.169418585474908,13.841307520866394,2.3531912503867884,6,200,"{'randomforestclassifier__max_depth': 6, 'randomforestclassifier__n_estimators': 200}",0.5564754447751318,0.5497584789934489,0.545244251936885,0.5358074105568148,0.5468213965655702,0.007510365720148772,17
15,245.90794014930725,53.5869675018557,13.260699033737183,4.404939482920196,6,250,"{'randomforestclassifier__max_depth': 6, 'randomforestclassifier__n_estimators': 250}",0.5586973054453256,0.5492988178697399,0.5455248308767943,0.5354890170697904,0.5472524928154126,0.008314676177605727,12
16,396.42914617061615,28.37663573718962,11.920751810073853,1.7891762931594846,6,500,"{'randomforestclassifier__max_depth': 6, 'randomforestclassifier__n_estimators': 500}",0.5601244970395559,0.5479186049697653,0.5441502014833705,0.5359482240488784,0.5470353818853926,0.008708535373122548,15
17,587.7447244524956,39.20643920205576,15.655805349349976,3.7911897794426896,6,1000,"{'randomforestclassifier__max_depth': 6, 'randomforestclassifier__n_estimators': 1000}",0.5602426559744261,0.5480877838403875,0.5435830564216423,0.5369455070546733,0.5472147508227823,0.008501986107407121,13
18,190.8468372821808,16.307860833937163,12.185943007469177,3.4707964563674953,8,50,"{'randomforestclassifier__max_depth': 8, 'randomforestclassifier__n_estimators': 50}",0.5588641287950361,0.5480253696617535,0.5461883207357009,0.5368504466647765,0.5474820664643167,0.007819073455931537,7
